[2025-04-17 15:21:52.217] [predicting] [info] 本地仿真环境日志
[2025-04-17 15:22:05.721] [predicting] [info] start_point.x =202.8047381840969
[2025-04-17 15:22:05.721] [predicting] [info] start_point.y =-677.0391068836
[2025-04-17 15:22:05.721] [predicting] [info] start_point.yaw =91.17601764558178
[2025-04-17 15:22:05.721] [predicting] [info] Enter PredictingIntface 
[2025-04-17 15:22:05.721] [predicting] [info] referenceline_relation_.size():48
[2025-04-17 15:22:05.721] [predicting] [info] all_referencelines_.size():51
[2025-04-17 15:22:05.721] [predicting] [info] 进入 PreddictPath 函数
[2025-04-17 15:22:05.721] [predicting] [info] 进入 findCurrentRoad 函数
[2025-04-17 15:22:05.721] [predicting] [info] 当前路径id:7 最近距离：619.6270273067814 角度差：7.7039823544182156 最近点纵向距离：579.585179409582
[2025-04-17 15:22:05.721] [predicting] [info] 当前路径id:8 最近距离：634.7744565198913 角度差：39.75398235441826 最近点纵向距离：617.2252847430127
[2025-04-17 15:22:05.722] [predicting] [info] 当前路径id:30 最近距离：634.7744564408811 角度差：40.18398235441823 最近点纵向距离：616.0954739161876
[2025-04-17 15:22:05.722] [predicting] [info] 当前路径id:52 最近距离：569.0107888628615 角度差：211.5639823544182 最近点纵向距离：181.04100479350217
[2025-04-17 15:22:05.722] [predicting] [info] 当前路径id:53 最近距离：501.4969206723476 角度差：64.8760176455818 最近点纵向距离：500.12077543633075
[2025-04-17 15:22:05.722] [predicting] [info] 当前路径id:54 最近距离：73.96480242716463 角度差：37.256017645581785 最近点纵向距离：0.5507536560914232
[2025-04-17 15:22:05.722] [predicting] [info] 当前路径id:56 最近距离：574.4737928688528 角度差：35.6939823544182 最近点纵向距离：569.9843952954138
[2025-04-17 15:22:05.722] [predicting] [info] 当前路径id:57 最近距离：570.9520894014084 角度差：222.4439823544182 最近点纵向距离：556.2676980950147
[2025-04-17 15:22:05.722] [predicting] [info] 当前路径id:59 最近距离：506.54266562820663 角度差：113.9939823544182 最近点纵向距离：505.38145944624137
[2025-04-17 15:22:05.722] [predicting] [info] 当前路径id:60 最近距离：562.9066486884551 角度差：27.873982354418235 最近点纵向距离：146.52734135663397
[2025-04-17 15:22:05.723] [predicting] [info] 当前路径id:66 最近距离：413.2201843785296 角度差：240.74398235441822 最近点纵向距离：281.27855705633846
[2025-04-17 15:22:05.723] [predicting] [info] 当前路径id:68 最近距离：80.55129125199956 角度差：140.98398235441817 最近点纵向距离：1.1143978303181115
[2025-04-17 15:22:05.723] [predicting] [info] 当前路径id:69 最近距离：359.09916695076714 角度差：223.6939823544182 最近点纵向距离：266.6600642934345
[2025-04-17 15:22:05.723] [predicting] [info] 当前路径id:70 最近距离：325.85332557856464 角度差：128.9439823544182 最近点纵向距离：200.87368243950763
[2025-04-17 15:22:05.723] [predicting] [info] 当前路径id:71 最近距离：319.85061655495934 角度差：127.99398235441821 最近点纵向距离：196.06555385229154
[2025-04-17 15:22:05.723] [predicting] [info] 当前路径id:72 最近距离：314.1206063194167 角度差：127.97398235441821 最近点纵向距离：195.54103332324422
[2025-04-17 15:22:05.723] [predicting] [info] 当前路径id:73 最近距离：292.38593101786074 角度差：128.39398235441823 最近点纵向距离：196.4104558843959
[2025-04-17 15:22:05.724] [predicting] [info] 当前路径id:74 最近距离：297.79671961406746 角度差：129.5739823544182 最近点纵向距离：201.3115820308755
[2025-04-17 15:22:05.724] [predicting] [info] 当前路径id:75 最近距离：303.3886159642782 角度差：129.6039823544182 最近点纵向距离：201.8298992848933
[2025-04-17 15:22:05.724] [predicting] [info] 当前路径id:76 最近距离：292.38593101786074 角度差：126.59398235441819 最近点纵向距离：189.51019314806413
[2025-04-17 15:22:05.724] [predicting] [info] 当前路径id:77 最近距离：297.79671961406746 角度差：126.4739823544182 最近点纵向距离：189.1496193207712
[2025-04-17 15:22:05.724] [predicting] [info] 当前路径id:78 最近距离：303.3886159642782 角度差：126.07398235441822 最近点纵向距离：187.5001363397056
[2025-04-17 15:22:05.724] [predicting] [info] 当前路径id:79 最近距离：308.7456645671006 角度差：127.01398235441822 最近点纵向距离：191.10203212265452
[2025-04-17 15:22:05.724] [predicting] [info] 当前路径id:80 最近距离：308.7456645671006 角度差：129.36398235441823 最近点纵向距离：200.88452184328528
[2025-04-17 15:22:05.724] [predicting] [info] 当前路径id:81 最近距离：319.85061655495934 角度差：126.75398235441824 最近点纵向距离：190.5508793813188
[2025-04-17 15:22:05.725] [predicting] [info] 当前路径id:82 最近距离：325.85332557856464 角度差：126.55398235441821 最近点纵向距离：189.99948986966794
[2025-04-17 15:22:05.725] [predicting] [info] 当前路径id:83 最近距离：314.1206063194167 角度差：126.10398235441824 最近点纵向距离：187.41480111176568
[2025-04-17 15:22:05.725] [predicting] [info] 当前路径id:84 最近距离：256.35477890995736 角度差：180.11398235441823 最近点纵向距离：254.01687206668987
[2025-04-17 15:22:05.725] [predicting] [info] 当前路径id:85 最近距离：304.94398339381866 角度差：127.4939823544182 最近点纵向距离：182.29300117987216
[2025-04-17 15:22:05.725] [predicting] [info] 当前路径id:86 最近距离：304.94398339381866 角度差：127.87398235441826 最近点纵向距离：183.91029209106605
[2025-04-17 15:22:05.725] [predicting] [info] 当前路径id:87 最近距离：304.94398339381866 角度差：128.01398235441823 最近点纵向距离：184.50410067164125
[2025-04-17 15:22:05.726] [predicting] [info] 当前路径id:88 最近距离：304.94398339381866 角度差：126.22398235441823 最近点纵向距离：176.83006940610045
[2025-04-17 15:22:05.726] [predicting] [info] 当前路径id:89 最近距离：304.94398339381866 角度差：125.88398235441824 最近点纵向距离：175.3526976641047
[2025-04-17 15:22:05.726] [predicting] [info] 当前路径id:90 最近距离：304.94398339381866 角度差：125.5739823544182 最近点纵向距离：174.00029932021587
[2025-04-17 15:22:05.726] [predicting] [info] 当前路径id:91 最近距离：302.4816291869947 角度差：85.5539823544182 最近点纵向距离：0.36089006978544447
[2025-04-17 15:22:05.726] [predicting] [info] 当前路径id:92 最近距离：506.5426656697847 角度差：115.35398235441818 最近点纵向距离：504.4255077654335
[2025-04-17 15:22:05.726] [predicting] [info] 当前路径id:93 最近距离：501.4969207113186 角度差：64.49601764558177 最近点纵向距离：499.86354616437575
[2025-04-17 15:22:05.726] [predicting] [info] 当前路径id:99 最近距离：761.8260450733524 角度差：13.153982354418233 最近点纵向距离：141.6287867578444
[2025-04-17 15:22:05.726] [predicting] [info] 当前路径id:102 最近距离：245.87553408775074 角度差：189.1639823544182 最近点纵向距离：244.3096225849998
[2025-04-17 15:22:05.727] [predicting] [info] 当前路径id:103 最近距离：389.728608901869 角度差：53.07398235441824 最近点纵向距离：284.61151553627514
[2025-04-17 15:22:05.727] [predicting] [info] 当前路径id:105 最近距离：327.5998722791878 角度差：17.233982354418234 最近点纵向距离：320.8331848961339
[2025-04-17 15:22:05.728] [predicting] [info] 当前路径id:107 最近距离：31.87005187537795 角度差：153.27398235441822 最近点纵向距离：0.1582315841814914
[2025-04-17 15:22:05.728] [predicting] [info] 当前路径id:108 最近距离：2.2852984484242467 角度差：0.3439823544182145 最近点纵向距离：0.31593438927396666
[2025-04-17 15:22:05.728] [predicting] [info] 当前路径id:109 最近距离：35.9727083959954 角度差：56.6560176455818 最近点纵向距离：30.469476432710195
[2025-04-17 15:22:05.728] [predicting] [info] 当前路径id:117 最近距离：246.62173553531264 角度差：10.113982354418217 最近点纵向距离：243.71850912703152
[2025-04-17 15:22:05.728] [predicting] [info] 当前路径id:119 最近距离：256.35477890995736 角度差：180.6039823544182 最近点纵向距离：254.30299278557217
[2025-04-17 15:22:05.728] [predicting] [info] 当前路径id:121 最近距离：329.00076976218463 角度差：198.80398235441825 最近点纵向距离：322.0955140221322
[2025-04-17 15:22:05.728] [predicting] [info] 当前路径id:122 最近距离：245.87553408775074 角度差：189.37398235441822 最近点纵向距离：244.2064364101443
[2025-04-17 15:22:05.728] [predicting] [info] 当前路径id:126 最近距离：770.1550908656949 角度差：194.1839823544182 最近点纵向距离：163.64455001281715
[2025-04-17 15:22:05.728] [predicting] [info] 当前路径id:127 最近距离：327.5998722791878 角度差：17.83398235441822 最近点纵向距离：320.1219419401547
[2025-04-17 15:22:05.728] [predicting] [info] 当前路径id:129 最近距离：3.5200190015870176 角度差：0.3339823544182151 最近点纵向距离：2.6836146192863506
[2025-04-17 15:22:05.728] [predicting] [info] validRoads.size():1
[2025-04-17 15:22:05.728] [predicting] [info] currentRoads.size():1 
