[2025-04-17 15:01:43.419] [predicting] [info] 本地仿真环境日志
[2025-04-17 15:01:58.419] [predicting] [info] start_point.x =203.78090395558127
[2025-04-17 15:01:58.419] [predicting] [info] start_point.y =-676.8316483875062
[2025-04-17 15:01:58.419] [predicting] [info] start_point.yaw =93.25668451206444
[2025-04-17 15:01:58.419] [predicting] [info] Enter PredictingIntface 
[2025-04-17 15:01:58.420] [predicting] [info] referenceline_relation_.size():0
[2025-04-17 15:01:58.420] [predicting] [info] all_referencelines_.size():51
[2025-04-17 15:01:58.420] [predicting] [info] 进入 PreddictPath 函数
[2025-04-17 15:01:58.420] [predicting] [info] 进入 findCurrentRoad 函数
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:7 最近距离：619.9293891758205 角度差：5.62331548793557 最近点纵向距离：579.5308938814024
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:8 最近距离：635.0406684697682 角度差：37.67331548793559 最近点纵向距离：617.7080694768922
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:30 最近距离：635.0406683912383 角度差：38.10331548793559 最近点纵向距离：616.5847999147294
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:52 最近距离：570.0080287269755 角度差：209.48331548793556 最近点纵向距离：181.39444198334468
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:53 最近距离：502.47958622187235 角度差：66.95668451206444 最近点纵向距离：501.08781368718206
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:54 最近距离：74.62975585814786 角度差：39.33668451206443 最近点纵向距离：0.1917913297764926
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:56 最近距离：574.7780620965744 角度差：33.61331548793556 最近点纵向距离：570.4041295788646
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:57 最近距离：571.2711684226314 角度差：220.36331548793552 最近点纵向距离：556.7909421505213
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:59 最近距离：507.5275648772499 角度差：111.91331548793555 最近点纵向距离：506.35317137939876
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:60 最近距离：563.9040309458186 角度差：25.793315487935562 最近点纵向距离：146.81998134225574
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:66 最近距离：413.27048624063696 角度差：238.6633154879356 最近点纵向距离：282.0421680221928
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:68 最近距离：81.20891574400088 角度差：138.90331548793552 最近点纵向距离：1.877070617107968
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:69 最近距离：358.9413668904363 角度差：221.61331548793558 最近点纵向距离：267.2017220466452
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:70 最近距离：325.682613936445 角度差：126.86331548793557 最近点纵向距离：199.99352757372708
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:71 最近距离：319.6679567458999 角度差：125.91331548793553 最近点纵向距离：195.17772097672352
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:72 最近距离：313.92577453880426 角度差：125.89331548793557 最近点纵向距离：194.65304142137916
