[2024-07-25 15:36:59.535] [example] [info] 本地仿真环境日志
[2024-07-25 15:37:14.437] [example] [info] start_point.x =-386.0581512451172
[2024-07-25 15:37:14.437] [example] [info] start_point.y =1236.1220703125
[2024-07-25 15:37:14.437] [example] [info] start_point.yaw =295.4367967571866
[2024-07-25 15:37:14.437] [example] [info] end_point.x =-295.0108165740967
[2024-07-25 15:37:14.437] [example] [info] end_point.y =927.7600955963135
[2024-07-25 15:37:14.437] [example] [info] end_point.yaw =272.2095363712643
[2024-07-25 15:37:14.437] [example] [info] Enter GlobalPathPlanningIntface
[2024-07-25 15:37:14.437] [example] [info] Enter PathPlanning
[2024-07-25 15:37:14.437] [example] [info]  task_type_: 2
[2024-07-25 15:37:14.437] [example] [info] 终点搜索半径：0.5,搜索到路径数量:1
[2024-07-25 15:37:14.437] [example] [info] 搜索到的路径ID信息如下
[2024-07-25 15:37:14.437] [example] [info] 100
[2024-07-25 15:37:14.441] [example] [info] 起点搜索半径：4.5,搜索到路径数量:1
[2024-07-25 15:37:14.441] [example] [info] 搜索到的路径ID信息如下
[2024-07-25 15:37:14.441] [example] [info] 129
[2024-07-25 15:37:14.441] [example] [info] start:4,end:3
[2024-07-25 15:37:14.441] [example] [info] 路径129与路径100不联通
[2024-07-25 15:37:14.441] [example] [info] 起点搜索半径：5,搜索到路径数量:1
[2024-07-25 15:37:14.441] [example] [info] 搜索到的路径ID信息如下
[2024-07-25 15:37:14.441] [example] [info] 129
[2024-07-25 15:37:14.441] [example] [info] start:4,end:3
[2024-07-25 15:37:14.441] [example] [info] 路径129与路径100不联通
[2024-07-25 15:37:14.442] [example] [info] 起点搜索半径：5.5,搜索到路径数量:1
[2024-07-25 15:37:14.442] [example] [info] 搜索到的路径ID信息如下
[2024-07-25 15:37:14.442] [example] [info] 129
[2024-07-25 15:37:14.442] [example] [info] start:4,end:3
[2024-07-25 15:37:14.442] [example] [info] 路径129与路径100不联通
[2024-07-25 15:37:14.442] [example] [info] 起点搜索半径：6,搜索到路径数量:1
[2024-07-25 15:37:14.442] [example] [info] 搜索到的路径ID信息如下
[2024-07-25 15:37:14.442] [example] [info] 129
[2024-07-25 15:37:14.442] [example] [info] start:4,end:3
[2024-07-25 15:37:14.442] [example] [info] 路径129与路径100不联通
[2024-07-25 15:37:14.442] [example] [info] 起点搜索半径：6.5,搜索到路径数量:1
[2024-07-25 15:37:14.442] [example] [info] 搜索到的路径ID信息如下
[2024-07-25 15:37:14.442] [example] [info] 129
[2024-07-25 15:37:14.442] [example] [info] start:4,end:3
[2024-07-25 15:37:14.442] [example] [info] 路径129与路径100不联通
[2024-07-25 15:37:14.443] [example] [info] 起点搜索半径：7,搜索到路径数量:1
[2024-07-25 15:37:14.443] [example] [info] 搜索到的路径ID信息如下
[2024-07-25 15:37:14.443] [example] [info] 129
[2024-07-25 15:37:14.443] [example] [info] start:4,end:3
[2024-07-25 15:37:14.443] [example] [info] 路径129与路径100不联通
[2024-07-25 15:37:14.443] [example] [info] 起点搜索半径：7.5,搜索到路径数量:1
